Id	|	Name	|	Description	|	Power	|	Accuracy	|	PP	|	TypeId
216	|	Return	|	Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.	|		|	100	|	20	|	1
217	|	Present	|	Randomly uses one of the following effects.  Effect                                             / Chance -------------------------------------------------- / -----: Inflicts regular damage with 40 power  /    40% Inflicts regular damage with 80 power  /    30% Inflicts regular damage with 120 power /    10% Heals the target for 1/4 its max HP    /    20%  On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.	|		|	90	|	15	|	1
218	|	Frustration	|	Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.	|		|	100	|	20	|	1
219	|	Safeguard	|	Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.  If yawn is used while this move is in effect, it will immediately fail.  defog used by an opponent will end this effect.  This effect does not prevent the confusion caused by outrage, petal dance, or thrash.	|		|		|	25	|	1
220	|	Pain-Split	|	Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.  This effect fails against a substitute.	|		|		|	20	|	1
221	|	Sacred-Fire	|	Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.	|	100	|	95	|	5	|	10
222	|	Magnitude	|	Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:  Magnitude / Power / Chance --------: / ----: / -----:         4 /    10 /     5%         5 /    30 /    10%         6 /    50 /    20%         7 /    70 /    30%         8 /    90 /    20%         9 /   110 /    10%        10 /   150 /     5%  This move has double power against Pokémon currently underground due to dig.	|		|	100	|	30	|	5
223	|	Dynamic-Punch	|	Inflicts regular damage.  Has a 100% chance to confuse the target.	|	100	|	50	|	5	|	2
224	|	Megahorn	|	Inflicts regular damage.	|	120	|	85	|	10	|	7
225	|	Dragon-Breath	|	Inflicts regular damage.  Has a 30% chance to paralyze the target.	|	60	|	100	|	20	|	16
226	|	Baton-Pass	|	User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.  The following move effects are passed:  * aqua ring * both the user's and target's effect of block, mean look, and spider web * the curse effect of curse * embargo * focus energy or an activated lansat berry * gastro acid * ingrain * being sapped by leech seed * being targeted by lock on or mind reader * magnet rise * perish song's counter * power trick * substitute; the doll's HP is unchanged  The replacement Pokémon does not trigger effects that respond to Pokémon switching in.	|		|		|	40	|	1
227	|	Encore	|	The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.	|		|	100	|	5	|	1
228	|	Pursuit	|	Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.  This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.	|	40	|	100	|	20	|	17
229	|	Rapid-Spin	|	Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate.	|	50	|	100	|	40	|	1
230	|	Sweet-Scent	|	Lowers the target's evasion by one stage.	|		|	100	|	20	|	1
231	|	Iron-Tail	|	Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.	|	100	|	75	|	15	|	9
232	|	Metal-Claw	|	Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.	|	50	|	95	|	35	|	9
233	|	Vital-Throw	|	Inflicts regular damage.  Ignores accuracy and evasion modifiers.	|	70	|		|	10	|	2
234	|	Morning-Sun	|	Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.	|		|		|	5	|	1
235	|	Synthesis	|	Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.	|		|		|	5	|	12
236	|	Moonlight	|	Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.	|		|		|	5	|	18
237	|	Hidden-Power	|	Inflicts regular damage.  Power and type are determined by the user's IVs.  Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)  Power is always between 30 and 70, inclusive.  Average power is 49.5.  Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.  Value / Type ----: / --------     0 / fighting     1 / flying     2 / poison     3 / ground     4 / rock     5 / bug     6 / ghost     7 / steel     8 / fire     9 / water    10 / grass    11 / electric    12 / psychic    13 / ice    14 / dragon    15 / dark  This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.	|	60	|	100	|	15	|	1
238	|	Cross-Chop	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	100	|	80	|	5	|	2
239	|	Twister	|	Inflicts regular damage.  Has a 20% chance to make each target flinch.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.	|	40	|	100	|	20	|	16
240	|	Rain-Dance	|	Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.  If the user is holding damp rock, this effect lasts for eight turns.  thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.  solar beam has half power.  moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.  Pokémon with swift swim have doubled original Speed.  Pokémon with forecast become water.  Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.	|		|		|	5	|	11
241	|	Sunny-Day	|	Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.  If the user is holding heat rock, this effect lasts for eight turns.  Pokémon cannot become frozen.  thunder has 50% accuracy.  solar beam skips its charge turn.  moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.  Pokémon with chlorophyll have doubled original Speed.  Pokémon with forecast become fire.  Pokémon with leaf guard are not affected by major status effects.  Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.  Pokémon with dry skin lose 1/8 max HP at the end of each turn.  Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.	|		|		|	5	|	10
242	|	Crunch	|	Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.	|	80	|	100	|	15	|	17
243	|	Mirror-Coat	|	Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.  This move cannot be copied by mirror move, nor selected by assist or metronome.	|		|	100	|	20	|	14
244	|	Psych-Up	|	Discards the user's stat changes and copies the target's.  This move cannot be copied by mirror move.	|		|		|	10	|	1
245	|	Extreme-Speed	|	Inflicts regular damage.	|	80	|	100	|	5	|	1
246	|	Ancient-Power	|	Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.	|	60	|	100	|	5	|	6
247	|	Shadow-Ball	|	Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.	|	80	|	100	|	15	|	8
248	|	Future-Sight	|	Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.  This effect breaks through wonder guard.  If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.  The damage is applied at the end of the turn, so it ignores endure and focus sash.  This move cannot be copied by mirror move.	|	120	|	100	|	10	|	14
249	|	Rock-Smash	|	Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.	|	40	|	100	|	15	|	2
250	|	Whirlpool	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  If the target is in the first turn of dive, this move will hit with double power.	|	35	|	85	|	15	|	11
251	|	Beat-Up	|	Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.  This effect breaks through wonder guard.	|		|	100	|	10	|	17
252	|	Fake-Out	|	Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.	|	40	|	100	|	10	|	1
253	|	Uproar	|	Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.  Pokémon cannot use rest during this effect.  This move cannot be selected by sleep talk.	|	90	|	100	|	10	|	1
254	|	Stockpile	|	Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.  If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.	|		|		|	20	|	1
255	|	Spit-Up	|	Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.  This move cannot be copied by mirror move.	|		|	100	|	10	|	1
256	|	Swallow	|	Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.	|		|		|	10	|	1
257	|	Heat-Wave	|	Inflicts regular damage.  Has a 10% chance to burn the target.	|	95	|	90	|	10	|	10
258	|	Hail	|	Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.  If the user is holding icy rock, this effect lasts for eight turns.  blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.  moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.  Pokémon with snow cloak are exempt from this effect's damage.	|		|		|	10	|	15
259	|	Torment	|	Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.  If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn.	|		|	100	|	15	|	17
260	|	Flatter	|	Raises the target's Special Attack by one stage, then confuses it.	|		|	100	|	15	|	17
261	|	Will-O-Wisp	|	Burns the target.	|		|	85	|	15	|	10
262	|	Memento	|	Lowers the target's Attack and Special Attack by two stages.  User faints.	|		|	100	|	10	|	17
263	|	Facade	|	Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power.	|	70	|	100	|	20	|	1
264	|	Focus-Punch	|	Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.	|	150	|	100	|	20	|	2
265	|	Smelling-Salts	|	Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis.	|	70	|	100	|	10	|	1
266	|	Follow-Me	|	Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.  This effect takes priority over lightning rod and storm drain.  If the user's ally switches out, opposing Pokémon may still hit it with pursuit.  This move cannot be selected by assist or metronome.	|		|		|	20	|	1
267	|	Nature-Power	|	Uses another move chosen according to the terrain.  Terrain                   / Selected move ------------------------- / ------------------ Building                  / tri attack Cave                      / rock slide Deep water                / hydro pump Desert                    / earthquake Grass                     / seed bomb Mountain                  / rock slide Road                      / earthquake Shallow water             / hydro pump Snow                      / blizzard Tall grass                / seed bomb electric terrain / thunderbolt grassy terrain   / energy ball misty terrain    / moonblast  In Pokémon Battle Revolution:  Terrain        / Selected move -------------- / ------------------ Courtyard      / tri attack Crystal        / rock slide Gateway        / hydro pump Magma          / rock slide Main Street    / tri attack Neon           / tri attack Stargazer      / rock slide Sunny Park     / seed bomb Sunset         / earthquake Waterfall      / seed bomb  This move cannot be copied by mirror move.	|		|		|	20	|	1
268	|	Charge	|	Raises the user's Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled.	|		|		|	20	|	13
269	|	Taunt	|	Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.  assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.  bide, counter, endeavor, metal burst, and mirror coat are allowed.	|		|	100	|	20	|	17
270	|	Helping-Hand	|	Boosts the power of the target's moves by 50% until the end of this turn.  This move cannot be copied by mirror move, nor selected by assist or metronome.	|		|		|	20	|	1
271	|	Trick	|	User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.  If either Pokémon has multitype or sticky hold, this move will fail.  If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.  Neither the user nor the target can recover its item with recycle.  This move cannot be selected by assist or metronome.	|		|	100	|	10	|	14
272	|	Role-Play	|	User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.  If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.  This move cannot be copied by mirror move.	|		|		|	10	|	14
273	|	Wish	|	At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate.	|		|		|	10	|	1
274	|	Assist	|	Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.  This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.  This move cannot be copied by mirror move, nor selected by metronome or sleep talk.	|		|		|	20	|	1
275	|	Ingrain	|	Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.  roar and whirlwind will not affect the user.  The user cannot use magnet rise.  The user may still use u turn to leave the field.  This effect can be passed with baton pass.	|		|		|	20	|	12
276	|	Superpower	|	Inflicts regular damage, then lowers the user's Attack and Defense by one stage each.	|	120	|	100	|	5	|	2
277	|	Magic-Coat	|	The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.  defog, memento, and teeter dance are not reflected.  attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.  This move cannot be copied by mirror move.	|		|		|	15	|	14
278	|	Recycle	|	User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.  Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered.	|		|		|	10	|	1
279	|	Revenge	|	Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.  pain split does not count as damaging the user.	|	60	|	100	|	10	|	2
280	|	Brick-Break	|	Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage.	|	75	|	100	|	15	|	2
281	|	Yawn	|	Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.  If the target is protected by safeguard when this move is used, this move will fail.  insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.	|		|		|	10	|	1
282	|	Knock-Off	|	Inflicts regular damage.  Target loses its held item.  Neither the user nor the target can recover its item with recycle.  If the target has multitype or sticky hold, it will take damage but not lose its item.	|	65	|	100	|	20	|	17
283	|	Endeavor	|	Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.	|		|	100	|	5	|	1
284	|	Eruption	|	Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.	|	150	|	100	|	5	|	10
285	|	Skill-Swap	|	User and target switch abilities.  Ignores accuracy and evasion modifiers.  If either Pokémon has multitype or wonder guard, this move will fail.	|		|		|	10	|	14
286	|	Imprison	|	Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail.	|		|		|	10	|	14
287	|	Refresh	|	Removes a burn, paralysis, or poison from the user.	|		|		|	20	|	1
288	|	Grudge	|	If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.	|		|		|	5	|	8
289	|	Snatch	|	The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the "snatchable" flag.  If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.  If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it's affected by pressure, it will only lose 1 PP.  This move cannot be copied by mirror move, nor selected by assist or metronome.	|		|		|	10	|	17
290	|	Secret-Power	|	Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.  Terrain        / Effect -------------- / ------------------------------------------------------------- Building       / Paralyzes target Cave           / Makes target flinch Deep water     / Lowers target's Attack by one stage Desert         / Lowers target's accuracy by one stage Grass          / Puts target to sleep Mountain       / Makes target flinch Road           / Lowers target's accuracy by one stage Shallow water  / Lowers target's Attack by one stage Snow           / Freezes target Tall grass     / Puts target to sleep  In Pokémon Battle Revolution:  Terrain        / Effect -------------- / ------------------------------------------------------------- Courtyard      / Paralyzes target Crystal        / Makes target flinch Gateway        / Lowers target's Attack by one stage Magma          / Makes target flinch Main Street    / Paralyzes target Neon           / Paralyzes target Stargazer      / Makes target flinch Sunny Park     / Puts target to sleep Sunset         / Lowers target's accuracy by one stage Waterfall      / Puts target to sleep 	|	70	|	100	|	20	|	1
291	|	Dive	|	Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be selected by sleep talk.	|	80	|	100	|	10	|	11
292	|	Arm-Thrust	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	15	|	100	|	20	|	2
293	|	Camouflage	|	User's type changes according to the terrain.  Terrain        / New type -------------- / -------------- Building       / normal Cave           / rock Desert         / ground Grass          / grass Mountain       / rock Ocean          / water Pond           / water Road           / ground Snow           / ice Tall grass     / grass  In Pokémon Battle Revolution:  Terrain        / New type -------------- / -------------- Courtyard      / normal Crystal        / rock Gateway        / water Magma          / rock Main Street    / normal Neon           / normal Stargazer      / rock Sunny Park     / grass Sunset         / ground Waterfall      / grass 	|		|		|	20	|	1
294	|	Tail-Glow	|	Raises the user's Special Attack by three stages.	|		|		|	20	|	7
295	|	Luster-Purge	|	Inflicts regular damage.  Has a 50% chance to lower the target's Special Defense by one stage.	|	95	|	100	|	5	|	14
296	|	Mist-Ball	|	Inflicts regular damage.  Has a 50% chance to lower the target's Special Attack by one stage.	|	95	|	100	|	5	|	14
297	|	Feather-Dance	|	Lowers the target's Attack by two stages.	|		|	100	|	15	|	3
298	|	Teeter-Dance	|	Confuses all targets.	|		|	100	|	20	|	1
299	|	Blaze-Kick	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to burn the target.	|	85	|	90	|	10	|	10
300	|	Mud-Sport	|	electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.	|		|		|	15	|	5
301	|	Ice-Ball	|	Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.  If the user has used defense curl since entering the field, this move has double power.	|	30	|	90	|	20	|	15
302	|	Needle-Arm	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	60	|	100	|	15	|	12
303	|	Slack-Off	|	Heals the user for half its max HP.	|		|		|	5	|	1
304	|	Hyper-Voice	|	Inflicts regular damage.	|	90	|	100	|	10	|	1
305	|	Poison-Fang	|	Inflicts regular damage.  Has a 50% chance to badly poison the target.	|	50	|	100	|	15	|	4
306	|	Crush-Claw	|	Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.	|	75	|	95	|	10	|	1
307	|	Blast-Burn	|	Inflicts regular damage.  User loses its next turn to "recharge", and cannot attack or switch out during that turn.	|	150	|	90	|	5	|	10
308	|	Hydro-Cannon	|	Inflicts regular damage.  User loses its next turn to "recharge", and cannot attack or switch out during that turn.	|	150	|	90	|	5	|	11
309	|	Meteor-Mash	|	Inflicts regular damage. Has a 20% chance to raise the user's Attack one stage.	|	90	|	90	|	10	|	9
310	|	Astonish	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	30	|	100	|	15	|	8
311	|	Weather-Ball	|	Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.	|	50	|	100	|	10	|	1
312	|	Aromatherapy	|	Removes major status effects and confusion from every Pokémon in the user's party.	|		|		|	5	|	12
313	|	Fake-Tears	|	Lowers the target's Special Defense by two stages.	|		|	100	|	20	|	17
314	|	Air-Cutter	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	60	|	95	|	25	|	3
315	|	Overheat	|	Inflicts regular damage, then lowers the user's Special Attack by two stages.	|	130	|	90	|	5	|	10
316	|	Odor-Sleuth	|	Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.	|		|		|	40	|	1
317	|	Rock-Tomb	|	Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.	|	60	|	95	|	15	|	6
318	|	Silver-Wind	|	Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.	|	60	|	100	|	5	|	7
319	|	Metal-Sound	|	Lowers the target's Special Defense by two stages.	|		|	85	|	40	|	9
320	|	Grass-Whistle	|	Puts the target to sleep.	|		|	55	|	15	|	12
321	|	Tickle	|	Lowers the target's Attack and Defense by one stage.	|		|	100	|	20	|	1
322	|	Cosmic-Power	|	Raises the user's Defense and Special Defense by one stage.	|		|		|	20	|	14
323	|	Water-Spout	|	Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.	|	150	|	100	|	5	|	11
324	|	Signal-Beam	|	Inflicts regular damage.  Has a 10% chance to confuse the target.	|	75	|	100	|	15	|	7
325	|	Shadow-Punch	|	Inflicts regular damage.  Ignores accuracy and evasion modifiers.	|	60	|		|	20	|	8
326	|	Extrasensory	|	Inflicts regular damage.  Has a 10% chance to make the target flinch.	|	80	|	100	|	20	|	14
327	|	Sky-Uppercut	|	Inflicts regular damage.  This move can hit Pokémon under the effect of bounce, fly, or sky drop.	|	85	|	90	|	15	|	2
328	|	Sand-Tomb	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.	|	35	|	85	|	15	|	5
329	|	Sheer-Cold	|	Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.	|		|	30	|	5	|	15
330	|	Muddy-Water	|	Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.	|	90	|	85	|	10	|	11
331	|	Bullet-Seed	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	25	|	100	|	30	|	12
332	|	Aerial-Ace	|	Inflicts regular damage.  Ignores accuracy and evasion modifiers.	|	60	|		|	20	|	3
333	|	Icicle-Spear	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	25	|	100	|	30	|	15
334	|	Iron-Defense	|	Raises the user's Defense by two stages.	|		|		|	15	|	9
335	|	Block	|	The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass.	|		|		|	5	|	1
336	|	Howl	|	Raises the user's Attack by one stage.	|		|		|	40	|	1
337	|	Dragon-Claw	|	Inflicts regular damage.	|	80	|	100	|	15	|	16
338	|	Frenzy-Plant	|	Inflicts regular damage.  User loses its next turn to "recharge", and cannot attack or switch out during that turn.	|	150	|	90	|	5	|	12
339	|	Bulk-Up	|	Raises the user's Attack and Defense by one stage each.	|		|		|	20	|	2
340	|	Bounce	|	Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a 30% chance to paralyze the target.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.	|	85	|	85	|	5	|	3
341	|	Mud-Shot	|	Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.	|	55	|	95	|	15	|	5
342	|	Poison-Tail	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.	|	50	|	100	|	25	|	4
